When,In,Out,Where,Category ,What,Tender,Status,,,,,,,,,,,
1/19/21,OUT,$ 37.09 ,BYU-I ,Clothing ,BYU-I hoody ,Credit,PAID,,,,,,,,,,,
1/21/21,OUT,$ 6.94 ,Brolium's ,Home ,Finish ,Credit,PAID,,,,,,,,,,,
1/22/21,IN,$ 153.28 ,BYU-I ,Income ,Payroll ,Cash,IN,,,,,,,,,,,
1/23/21,OUT,$ 15.33 ,LDS ,Church ,Tithes ,Debit,PAID,,,,,,,,,,,
1/24/21,OUT,$ 63.59 ,Amazon ,School ,Monitor Stand ,Debit,PAID,,,,,,,,,,,
1/25/21,OUT,$ 5.00 ,Walmart ,Groceries ,Food ,Debit,PAID,,,,,,,,,,,
1/25/21,OUT,$ 37.33 ,Walmart ,Groceries ,Food and Toiletries ,Credit,PAID,,,,,,,,,,,
1/4/21,IN,$ 600.00 ,IRS ,Gift ,Stimulus Check ,Cash,IN,,,,,,,,,,,
1/4/21,IN,$ 40.00 ,Family ,Gift ,Christmas Gift ,Cash,IN,,,,,,,,,,,
1/4/21,OUT,"$ 2,696.00 ",BYU-I ,School ,Tuition & Health Plan ,Debit,PAID,,,,,,,,,,,
1/4/21,OUT,$ 6.88 ,Amazon ,Home ,Prime ,Debit,PAID,,,,,,,,,,,
1/5/21,OUT,$ 100.00 ,BYU-I ,School ,Security Deposit ,Debit,PAID,,,,,,,,,,,
1/5/21,OUT,$ 5.00 ,LDS ,Church ,Fast Offerings ,Debit,PAID,,,,,,,,,,,
1/6/21,OUT,"$ 1,200.00 ",BYU-I ,School ,Cove Housing ,Debit,PAID,,,,,,,,,,,
1/7/21,OUT,$ 26.00 ,Great Scotts ,Home ,Gas for Rental ,Debit,PAID,,,,,,,,,,,
1/6/21,OUT,$ 24.98 ,Walmart ,Groceries ,Foods ,Credit,PAID,,,,,,,,,,,
1/29/21,OUT,$ 35.00 ,Paul Mitchell School ,Grooming ,Year Haircut Sub ,Cash,PAID,,,,,,,,,,,
1/29/21,OUT,$ 250.00 ,Robin Hood ,Stock Market ,Lost some money on Dodge ,Debit,PAID,,,,,,,,,,,
1/29/21,OUT,$ 5.38 ,Spotify ,Misc ,Monthly Membership ,Debit,PAID,,,,,,,,,,,
1/31/21,OUT,$ 15.00 ,Costco ,Groceries ,Bread and Eggs ,Cash,PAID,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
